Entity1_id	Entity1_name	Entity1_type	Entity2_id	Entity2_name	Entity2_type	Evidence	Association	PK	PD	PMIDs
PA450428	PA450428	Drug	PA162403775	PA162403775	Gene	Pathway	associated			21317831
PA450428	PA450428	Drug	PA164718673	PA164718673	Gene	ClinicalAnnotation,VariantAnnotation	associated		PD	18539621
PA450428	PA450428	Drug	PA164718734	PA164718734	Gene	VariantAnnotation	ambiguous		PD	16947783;19193698
PA450428	PA450428	Drug	PA167	PA167	Gene	ClinicalAnnotation,VariantAnnotation	associated		PD	19902562;22450926
PA450428	PA450428	Drug	PA244	PA244	Gene	ClinicalAnnotation,Pathway,VariantAnnotation	associated		PD	18256692;21317831
PA450428	PA450428	Drug	PA245	PA245	Gene	ClinicalAnnotation,VIP,VariantAnnotation	ambiguous	PK	PD	11418485;11710708;12453860;12915598;14647408;15051775;15569990;15781665;15797993;16013960;16019535;16439441;16462575;16463153;16501586;16572443;16870553;16920564;17180579;17323057;17488658;17512587;18322994;18368069;18381794;18458567;19005482;19016697;19159907;19193698;19648163;19827168;19858780;20386493;20472929;20514079;20595278;20863444;21747412;21931346;22143415;22838948;23089671
PA450428	PA450428	Drug	PA24503	PA24503	Gene	VariantAnnotation	associated		PD	19902562
PA450428	PA450428	Drug	PA24584	PA24584	Gene	ClinicalAnnotation,VariantAnnotation	associated		PD	18539621;19902562
PA450428	PA450428	Drug	PA24776	PA24776	Gene	ClinicalAnnotation,VariantAnnotation	ambiguous		PD	16947783;20386493;22450926
PA450428	PA450428	Drug	PA25094	PA25094	Gene	ClinicalAnnotation,VariantAnnotation	ambiguous		PD	15457444;15677700;16947783;18322994;19016697;19193698;20847201;22450926
PA450428	PA450428	Drug	PA254	PA254	Gene	ClinicalAnnotation,VariantAnnotation	associated		PD	16013960;19671875
PA450428	PA450428	Drug	PA26316	PA26316	Gene	VariantAnnotation	associated		PD	22450926
PA450428	PA450428	Drug	PA26551	PA26551	Gene	VariantAnnotation	ambiguous		PD	11418485;12453860;12915598;14647408;15051775;15781665;15797993;16013960;16019535;16462575;16463153;16501586;16870553;16920564;17180579;17323057;17488658;17512587;18322994;18381794;18458567;19016697;19159907;19193698;19648163;19827168;20386493;20514079;20595278;20863444;21747412;21931346
PA450428	PA450428	Drug	PA267	PA267	Gene	ClinicalAnnotation,Pathway,VIP,VariantAnnotation	associated		PD	10331089;10408903;10411543;11770010;12359865;14698041;14749689;15497697;16370938;16651435;17112805;17367162;17428165;17982279;18215618;18381794;18668431;18699730;18824002;18940259;19093297;19106083;19223414;19234366;19447222;19458058;20136356;21317831;7765321;8118035;8898203;9300798;9520143
PA450428	PA450428	Drug	PA26711	PA26711	Gene	VariantAnnotation	associated		PD	22450926
PA450428	PA450428	Drug	PA27785	PA27785	Gene	VariantAnnotation	associated		PD	22450926
PA450428	PA450428	Drug	PA27848	PA27848	Gene	VariantAnnotation	associated		PD	21826087
PA450428	PA450428	Drug	PA28130	PA28130	Gene	VariantAnnotation	associated		PD	16822847
PA450428	PA450428	Drug	PA28205	PA28205	Gene	VariantAnnotation	associated		PD	22838948
PA450428	PA450428	Drug	PA28207	PA28207	Gene	Pathway	associated			21317831
PA450428	PA450428	Drug	PA29028	PA29028	Gene	ClinicalAnnotation,VariantAnnotation	ambiguous		PD	17180579;17264302
PA450428	PA450428	Drug	PA29973	PA29973	Gene	ClinicalAnnotation,VariantAnnotation	ambiguous		PD	16947783;19193698;19858780;22450926
PA450428	PA450428	Drug	PA31134	PA31134	Gene	VariantAnnotation	associated		PD	22450926
PA450428	PA450428	Drug	PA31236	PA31236	Gene	ClinicalAnnotation,VariantAnnotation	ambiguous		PD	14647408;15797993;20386493;22450926
PA450428	PA450428	Drug	PA31272	PA31272	Gene	ClinicalAnnotation,VariantAnnotation	ambiguous		PD	15797993;16013960;17611986;17855192;18322994;19159907;22838948
PA450428	PA450428	Drug	PA31277	PA31277	Gene	ClinicalAnnotation,VariantAnnotation	ambiguous		PD	15797993;16013960;18368069;20386493
PA450428	PA450428	Drug	PA327	PA327	Gene	ClinicalAnnotation,Pathway,VIP,VariantAnnotation	ambiguous	PK	PD	10598550;12411325;12915598;15457444;15564880;15677700;15797993;16462575;17180579;17264302;17323057;17325736;17404734;17410198;18322994;18458567;19827168;20335220;21317831;21747412;22450926;22838948
PA450428	PA450428	Drug	PA328	PA328	Gene	Pathway	associated			21317831
PA450428	PA450428	Drug	PA32897	PA32897	Gene	VariantAnnotation	associated		PD	22846425
PA450428	PA450428	Drug	PA33995	PA33995	Gene	VariantAnnotation	associated		PD	20921970
PA450428	PA450428	Drug	PA34068	PA34068	Gene	VariantAnnotation	associated		PD	23007406
PA450428	PA450428	Drug	PA35083	PA35083	Gene	ClinicalAnnotation,VariantAnnotation	ambiguous		PD	16906016;19088262
PA450428	PA450428	Drug	PA356	PA356	Gene	VariantAnnotation	associated		PD	22838948;22846425
PA450428	PA450428	Drug	PA35753	PA35753	Gene	ClinicalAnnotation,VariantAnnotation	ambiguous		PD	15797993;18322994;18368069;20386493;22450926;22838948
PA450428	PA450428	Drug	PA35819	PA35819	Gene	VariantAnnotation	associated		PD	20827233
PA450428	PA450428	Drug	PA35844	PA35844	Gene	Pathway	associated			21317831
PA450428	PA450428	Drug	PA359	PA359	Gene	ClinicalAnnotation,VIP,VariantAnnotation	ambiguous		PD	11937185;12651279;12972956;14522928;14647408;15457444;15677700;15713801;15797993;16130010;16207145;16501586;17203168;17323057;17410198;18322994;18368069;19159907;19902562;20386493;21262916;22450926;22838948
PA450428	PA450428	Drug	PA36552	PA36552	Gene	VariantAnnotation	associated		PD	20136356
PA450428	PA450428	Drug	PA376	PA376	Gene	ClinicalAnnotation,Pathway,VariantAnnotation	associated	PK	PD	21317831;21606946
PA450428	PA450428	Drug	PA38266	PA38266	Gene	VariantAnnotation	ambiguous		PD	15797993;18322994;18368069;20386493;22450926;22838948
PA450428	PA450428	Drug	PA388	PA388	Gene	Pathway	associated			21317831
PA450428	PA450428	Drug	PA389	PA389	Gene	Pathway	associated			21317831
PA450428	PA450428	Drug	PA390	PA390	Gene	ClinicalAnnotation,Pathway,VariantAnnotation	associated		PD	18256692;20386493;21317831
PA450428	PA450428	Drug	PA397	PA397	Gene	Pathway,VariantAnnotation	associated		PD	19515727;21317831
PA450428	PA450428	Drug	PA432	PA432	Gene	ClinicalAnnotation,VariantAnnotation	ambiguous	PK	PD	15284538;15564880;16999998;17286537;19827168;22450926
PA450428	PA450428	Drug	PA75	PA75	Gene	ClinicalAnnotation,VariantAnnotation	associated		PD	12972956;16870553
PA450428	PA450428	Drug	TPMT *1, TPMT *12	TPMT *1, TPMT *12	Haplotype	VariantAnnotation	associated		PD	22838948
PA450428	PA450428	Drug	rs10072026	rs10072026	VariantLocation	VariantAnnotation	associated		PD	22450926
PA450428	PA450428	Drug	rs1045642	rs1045642	VariantLocation	ClinicalAnnotation,VIP,VariantAnnotation	associated		PD	18607581;19093297;20136356
PA450428	PA450428	Drug	rs1051266	rs1051266	VariantLocation	ClinicalAnnotation,VIP,VariantAnnotation	ambiguous	PK	PD	11705857;12411325;12915598;15457444;15564880;15677700;15797993;16462575;17180579;17264302;17323057;17325736;17410198;18322994;18458567;19827168;20335220;21747412;22450926;22838948
PA450428	PA450428	Drug	rs1054774	rs1054774	VariantLocation	VariantAnnotation	associated		PD	22450926
PA450428	PA450428	Drug	rs10821936	rs10821936	VariantLocation	ClinicalAnnotation	associated			19684603
PA450428	PA450428	Drug	rs10994982	rs10994982	VariantLocation	VariantAnnotation	associated	PK		19684603
PA450428	PA450428	Drug	rs11045821	rs11045821	VariantLocation	VariantAnnotation	associated	PK	PD	23233662
PA450428	PA450428	Drug	rs11045872	rs11045872	VariantLocation	VariantAnnotation	associated	PK	PD	23233662
PA450428	PA450428	Drug	rs11045879	rs11045879	VariantLocation	ClinicalAnnotation,VariantAnnotation	associated	PK	PD	19901119;22846425;23233662
PA450428	PA450428	Drug	rs1105525	rs1105525	VariantLocation	VariantAnnotation	associated		PD	19861437
PA450428	PA450428	Drug	rs1127354	rs1127354	VariantLocation	ClinicalAnnotation,VariantAnnotation	ambiguous		PD	16947783;19193698;19858780;22450926
PA450428	PA450428	Drug	rs1128503	rs1128503	VariantLocation	VariantAnnotation	associated		PD	18381794
PA450428	PA450428	Drug	rs1131596	rs1131596	VariantLocation	VariantAnnotation	not associated			17404734
PA450428	PA450428	Drug	rs1142345	rs1142345	VariantLocation	VariantAnnotation	associated		PD	22846425
PA450428	PA450428	Drug	rs11545078	rs11545078	VariantLocation	ClinicalAnnotation,VariantAnnotation	ambiguous	PK	PD	15284538;16999998;22450926
PA450428	PA450428	Drug	rs11702425	rs11702425	VariantLocation	VariantAnnotation	associated		PD	22450926
PA450428	PA450428	Drug	rs11786893	rs11786893	VariantLocation	VariantAnnotation	associated		PD	15284538
PA450428	PA450428	Drug	rs1232027	rs1232027	VariantLocation	VariantAnnotation	associated		PD	20472929
PA450428	PA450428	Drug	rs12517451	rs12517451	VariantLocation	VariantAnnotation	associated		PD	22450926
PA450428	PA450428	Drug	rs12681874	rs12681874	VariantLocation	VariantAnnotation	associated		PD	22450926
PA450428	PA450428	Drug	rs12995526	rs12995526	VariantLocation	VariantAnnotation	associated		PD	22450926
PA450428	PA450428	Drug	rs13120400	rs13120400	VariantLocation	ClinicalAnnotation,VariantAnnotation	associated		PD	18256692
PA450428	PA450428	Drug	rs13181	rs13181	VariantLocation	VariantAnnotation	associated		PD	21826087
PA450428	PA450428	Drug	rs1544105	rs1544105	VariantLocation	ClinicalAnnotation,VariantAnnotation	associated		PD	19902562
PA450428	PA450428	Drug	rs1643657	rs1643657	VariantLocation	VariantAnnotation	associated		PD	22450926
PA450428	PA450428	Drug	rs16853834	rs16853834	VariantLocation	VariantAnnotation	associated		PD	22450926
PA450428	PA450428	Drug	rs1695	rs1695	VariantLocation	ClinicalAnnotation,VariantAnnotation	ambiguous		PD	17180579;17264302
PA450428	PA450428	Drug	rs17222723	rs17222723	VariantLocation	VariantAnnotation	not associated	PK		23069858
PA450428	PA450428	Drug	rs17602729	rs17602729	VariantLocation	ClinicalAnnotation,VariantAnnotation	ambiguous		PD	16947783;20386493;22450926
PA450428	PA450428	Drug	rs17731538	rs17731538	VariantLocation	ClinicalAnnotation,VariantAnnotation	associated		PD	18256692
PA450428	PA450428	Drug	rs1799793	rs1799793	VariantLocation	VariantAnnotation	associated		PD	21826087
PA450428	PA450428	Drug	rs1799983	rs1799983	VariantLocation	ClinicalAnnotation,VariantAnnotation	associated		PD	16013960;19671875
PA450428	PA450428	Drug	rs1800909	rs1800909	VariantLocation	ClinicalAnnotation,VariantAnnotation	associated		PD	17286537
PA450428	PA450428	Drug	rs1801131	rs1801131	VariantLocation	ClinicalAnnotation,VIP,VariantAnnotation	ambiguous		PD	14647408;15569990;15781665;15797993;16013960;16019535;16439441;16501586;16572443;16920564;17323057;17488658;17512587;18322994;18368069;19016697;19827168;19858780;20514079;20595278;20863444;21747412;21931346;23089671
PA450428	PA450428	Drug	rs1801133	rs1801133	VariantLocation	ClinicalAnnotation,VIP,VariantAnnotation	ambiguous	PK	PD	11418485;11710708;12453860;12915598;14647408;15051775;15781665;15797993;16013960;16019535;16462575;16463153;16501586;16572443;16870553;16920564;17180579;17323057;17488658;17512587;18322994;18381794;18458567;19005482;19016697;19159907;19193698;19648163;19827168;20386493;20472929;20514079;20595278;20863444;21747412;21931346;22143415;22838948;23089671
PA450428	PA450428	Drug	rs1801394	rs1801394	VariantLocation	ClinicalAnnotation,VariantAnnotation	ambiguous		PD	15797993;16013960;18368069;20386493
PA450428	PA450428	Drug	rs1805087	rs1805087	VariantLocation	ClinicalAnnotation,VariantAnnotation	ambiguous		PD	15797993;16013960;17611986;17855192;18322994;19159907;22838948
PA450428	PA450428	Drug	rs1979277	rs1979277	VariantLocation	ClinicalAnnotation,VariantAnnotation	ambiguous		PD	15797993;18322994;18368069;20386493;22450926;22838948
PA450428	PA450428	Drug	rs2070744	rs2070744	VariantLocation	ClinicalAnnotation	associated		PD	19671875
PA450428	PA450428	Drug	rs2231142	rs2231142	VariantLocation	VariantAnnotation	associated		PD	20386493
PA450428	PA450428	Drug	rs2236225	rs2236225	VariantLocation	ClinicalAnnotation,VariantAnnotation	ambiguous		PD	14647408;15797993;20386493;22450926
PA450428	PA450428	Drug	rs2236624	rs2236624	VariantLocation	ClinicalAnnotation,VariantAnnotation	associated		PD	18539621
PA450428	PA450428	Drug	rs2238476	rs2238476	VariantLocation	ClinicalAnnotation,VariantAnnotation	associated		PD	18256692
PA450428	PA450428	Drug	rs2267076	rs2267076	VariantLocation	ClinicalAnnotation,VariantAnnotation	associated		PD	18539621
PA450428	PA450428	Drug	rs2273697	rs2273697	VariantLocation	VariantAnnotation	ambiguous	PK	PD	18381794;23069858
PA450428	PA450428	Drug	rs2274407	rs2274407	VariantLocation	VariantAnnotation	associated		PD	19515727
PA450428	PA450428	Drug	rs2274808	rs2274808	VariantLocation	VariantAnnotation	associated		PD	22450926
PA450428	PA450428	Drug	rs2298383	rs2298383	VariantLocation	ClinicalAnnotation,VariantAnnotation	associated		PD	18539621
PA450428	PA450428	Drug	rs2306283	rs2306283	VariantLocation	VIP,VariantAnnotation	associated	PK	PD	11477075;23233662
PA450428	PA450428	Drug	rs2372536	rs2372536	VariantLocation	ClinicalAnnotation,VariantAnnotation	ambiguous		PD	15457444;15677700;16947783;18322994;19016697;22450926
PA450428	PA450428	Drug	rs2413739	rs2413739	VariantLocation	VariantAnnotation	associated		PD	22846425
PA450428	PA450428	Drug	rs244076	rs244076	VariantLocation	VariantAnnotation	associated		PD	19902562
PA450428	PA450428	Drug	rs246240	rs246240	VariantLocation	ClinicalAnnotation,VariantAnnotation	associated		PD	18256692
PA450428	PA450428	Drug	rs2476601	rs2476601	VariantLocation	VariantAnnotation	associated		PD	20921970
PA450428	PA450428	Drug	rs28364006	rs28364006	VariantLocation	ClinicalAnnotation,VariantAnnotation	associated		PD	18256692
PA450428	PA450428	Drug	rs2838956	rs2838956	VariantLocation	VariantAnnotation	associated		PD	22450926
PA450428	PA450428	Drug	rs2853539	rs2853539	VariantLocation	ClinicalAnnotation,VariantAnnotation	associated		PD	19902562
PA450428	PA450428	Drug	rs34489327	rs34489327	VariantLocation	ClinicalAnnotation,VIP,VariantAnnotation	ambiguous		PD	16130010;16501586;17410198;18322994;22450926
PA450428	PA450428	Drug	rs34743033	rs34743033	VariantLocation	ClinicalAnnotation,VIP,VariantAnnotation	ambiguous		PD	11937185;12651279;12972956;14522928;14647408;15677700;15713801;15797993;16130010;17203168;17323057;17410198;18322994;18368069;19159907;20386493;21262916;22450926;22838948
PA450428	PA450428	Drug	rs351855	rs351855	VariantLocation	VariantAnnotation	associated		PD	16822847
PA450428	PA450428	Drug	rs35592	rs35592	VariantLocation	ClinicalAnnotation,VariantAnnotation	associated		PD	18256692
PA450428	PA450428	Drug	rs3740066	rs3740066	VariantLocation	VariantAnnotation	not associated	PK		23069858
PA450428	PA450428	Drug	rs3758149	rs3758149	VariantLocation	ClinicalAnnotation,VariantAnnotation	associated	PK	PD	15564880;19827168
PA450428	PA450428	Drug	rs3761422	rs3761422	VariantLocation	ClinicalAnnotation,VariantAnnotation	associated		PD	18539621
PA450428	PA450428	Drug	rs3763980	rs3763980	VariantLocation	VariantAnnotation	associated		PD	20827233
PA450428	PA450428	Drug	rs3784862	rs3784862	VariantLocation	VariantAnnotation	associated		PD	18256692
PA450428	PA450428	Drug	rs3821353	rs3821353	VariantLocation	VariantAnnotation	associated		PD	22450926
PA450428	PA450428	Drug	rs4148396	rs4148396	VariantLocation	VariantAnnotation	associated		PD	18381794
PA450428	PA450428	Drug	rs4149015	rs4149015	VariantLocation	VIP	associated			11477075
PA450428	PA450428	Drug	rs4149056	rs4149056	VariantLocation	ClinicalAnnotation,VIP,VariantAnnotation	associated	PK	PD	11477075;19901119;23233662
PA450428	PA450428	Drug	rs4149081	rs4149081	VariantLocation	ClinicalAnnotation,VariantAnnotation	associated	PK	PD	19901119;23233662
PA450428	PA450428	Drug	rs4451422	rs4451422	VariantLocation	VariantAnnotation	associated		PD	22450926
PA450428	PA450428	Drug	rs45445694	rs45445694	VariantLocation	ClinicalAnnotation,VariantAnnotation	associated		PD	15457444
PA450428	PA450428	Drug	rs45589337	rs45589337	VariantLocation	VariantAnnotation	associated		PD	14635116
PA450428	PA450428	Drug	rs4673993	rs4673993	VariantLocation	ClinicalAnnotation,VariantAnnotation	associated		PD	19193698;20847201
PA450428	PA450428	Drug	rs4846051	rs4846051	VariantLocation	ClinicalAnnotation,VariantAnnotation	associated		PD	16439441
PA450428	PA450428	Drug	rs4888024	rs4888024	VariantLocation	ClinicalAnnotation	associated	PK	PD	19176441
PA450428	PA450428	Drug	rs4986790	rs4986790	VariantLocation	VariantAnnotation	associated		PD	20136356
PA450428	PA450428	Drug	rs5751876	rs5751876	VariantLocation	VariantAnnotation	associated		PD	19902562
PA450428	PA450428	Drug	rs5760410	rs5760410	VariantLocation	ClinicalAnnotation,VariantAnnotation	associated		PD	18539621
PA450428	PA450428	Drug	rs61886492	rs61886492	VariantLocation	VariantAnnotation	associated		PD	22838948
PA450428	PA450428	Drug	rs66554220	rs66554220	VariantLocation	ClinicalAnnotation,VariantAnnotation	ambiguous		PD	16906016;19088262
PA450428	PA450428	Drug	rs6920220	rs6920220	VariantLocation	VariantAnnotation	associated		PD	20921970
PA450428	PA450428	Drug	rs70991108	rs70991108	VariantLocation	ClinicalAnnotation,VariantAnnotation	ambiguous		PD	18322994;19648163;21747412
PA450428	PA450428	Drug	rs7142143	rs7142143	VariantLocation	VariantAnnotation	associated		PD	23007406
PA450428	PA450428	Drug	rs717620	rs717620	VariantLocation	VariantAnnotation	associated	PK		23069858
PA450428	PA450428	Drug	rs7279445	rs7279445	VariantLocation	VariantAnnotation	associated		PD	22450926
PA450428	PA450428	Drug	rs7387	rs7387	VariantLocation	VariantAnnotation	associated		PD	19902562
PA450428	PA450428	Drug	rs7499	rs7499	VariantLocation	VariantAnnotation	associated		PD	22450926
PA450428	PA450428	Drug	rs7563206	rs7563206	VariantLocation	VariantAnnotation	associated		PD	22450926
PA450428	PA450428	Drug	rs7992226	rs7992226	VariantLocation	ClinicalAnnotation,VariantAnnotation	associated	PK		19176441
PA450428	PA450428	Drug	rs8187710	rs8187710	VariantLocation	VariantAnnotation	not associated	PK		23069858
PA450428	PA450428	Drug	rs9344	rs9344	VariantLocation	ClinicalAnnotation,VariantAnnotation	associated		PD	12972956;16870553
PA450428	PA450428	Drug	rs9345389	rs9345389	VariantLocation	ClinicalAnnotation	associated	PK	PD	19176441
PA450428	PA450428	Drug	rs9895420	rs9895420	VariantLocation	ClinicalAnnotation,VariantAnnotation	associated	PK	PD	21606946
PA450428	PA450428	Drug	rs9977268	rs9977268	VariantLocation	ClinicalAnnotation,VariantAnnotation	associated		PD	22450926
PA150481189	PA150481189	Drug	PA162387925	PA162387925	Gene	ClinicalAnnotation	associated		PD	17224914;18187806;22026922;22527101
PA150481189	PA150481189	Drug	PA267	PA267	Gene	ClinicalAnnotation,VariantAnnotation	associated	PK	PD	12684679;16467099;18836089;19203783
PA150481189	PA150481189	Drug	PA27094	PA27094	Gene	ClinicalAnnotation	associated		PD	17224914;18187806;22026922;22527101
PA150481189	PA150481189	Drug	PA29028	PA29028	Gene	VariantAnnotation	associated		PD	19203783
PA150481189	PA150481189	Drug	rs1045642	rs1045642	VariantLocation	VIP,VariantAnnotation	associated		PD	12684679
PA150481189	PA150481189	Drug	rs1056836	rs1056836	VariantLocation	ClinicalAnnotation	associated		PD	17224914;18187806;22026922;22527101
PA150481189	PA150481189	Drug	rs1695	rs1695	VariantLocation	VariantAnnotation	associated		PD	19203783
PA150481189	PA150481189	Drug	rs2032582	rs2032582	VariantLocation	ClinicalAnnotation,VariantAnnotation	associated	PK	PD	16467099;18836089;19203783
rs6295	rs6295	VariantLocation	PA164713257	PA164713257	Drug	ClinicalAnnotation	associated		PD	18047755;18387740;18484082;19800133
rs6295	rs6295	VariantLocation	PA164752812	PA164752812	Drug	VariantAnnotation	associated		PD	18484082
rs6295	rs6295	VariantLocation	PA447207	PA447207	Disease	ClinicalAnnotation	associated		PD	18047755;18387740;18484082;19800133
rs6295	rs6295	VariantLocation	PA447212	PA447212	Disease	VariantAnnotation	associated		PD	19800133
rs6295	rs6295	VariantLocation	PA447321	PA447321	Disease	ClinicalAnnotation,VariantAnnotation	associated		PD	18047755;18387740;18484082;19800133
rs6295	rs6295	VariantLocation	PA449690	PA449690	Drug	ClinicalAnnotation,VariantAnnotation	associated		PD	18047755;18387740;18484082;19800133
rs6295	rs6295	VariantLocation	PA450801	PA450801	Drug	ClinicalAnnotation,VariantAnnotation	associated		PD	18047755;18387740;18484082;19800133
rs6295	rs6295	VariantLocation	PA451333	PA451333	Drug	VariantAnnotation	associated		PD	19800133
rs6295	rs6295	VariantLocation	PA452229	PA452229	Drug	ClinicalAnnotation,VariantAnnotation	associated		PD	18047755;18387740;18484082;19800133
PA129	PA129	Gene	PA162316739	PA162316739	Disease	VariantAnnotation	not associated		PD	20941486
PA129	PA129	Gene	PA164712708	PA164712708	Drug	VariantAnnotation	ambiguous		PD	18713495;20860460
PA129	PA129	Gene	PA164749431	PA164749431	Drug	VariantAnnotation	associated		PD	22584460
PA129	PA129	Gene	PA164749650	PA164749650	Drug	VariantAnnotation	associated		PD	16770646
PA129	PA129	Gene	PA164784021	PA164784021	Drug	VariantAnnotation	ambiguous		PD	12668988;20392357;20819434;20941486;21753138;22335459;23190413
PA129	PA129	Gene	PA164925725	PA164925725	Disease	VariantAnnotation	ambiguous		PD	16677176;16770646;18713495;20392357;21753138;22335459;22506592;22584460;23190413
PA129	PA129	Gene	PA443450	PA443450	Disease	VariantAnnotation	associated	PK		16841220
PA129	PA129	Gene	PA443512	PA443512	Disease	VariantAnnotation	not associated			18798002
PA129	PA129	Gene	PA443937	PA443937	Disease	VariantAnnotation	not associated		PD	22188361
PA129	PA129	Gene	PA444442	PA444442	Disease	VariantAnnotation	ambiguous		PD	12668988;19761367;20819434;20860460;21261721;22012226
PA129	PA129	Gene	PA444760	PA444760	Disease	VariantAnnotation	associated		PD	22584460
PA129	PA129	Gene	PA444802	PA444802	Disease	VariantAnnotation	associated	PK		8659683
PA129	PA129	Gene	PA445204	PA445204	Disease	VariantAnnotation	ambiguous		PD	22188361
PA129	PA129	Gene	PA445941	PA445941	Disease	VariantAnnotation	ambiguous	PK	PD	12668988;16677176;16770646;18544910;18713495;19761367;20392357;20819434;20941486;21261721;21753138;22012226;22335459;22485222;22506592;23190413
PA129	PA129	Gene	PA448015	PA448015	Drug	VIP,VariantAnnotation	associated	PK		18695978;8659683
PA129	PA129	Gene	PA448710	PA448710	Drug	Pathway,VariantAnnotation	ambiguous			18798002;22293536
PA129	PA129	Gene	PA449014	PA449014	Drug	VariantAnnotation	ambiguous		PD	22188361
PA129	PA129	Gene	PA449165	PA449165	Drug	VariantAnnotation	ambiguous		PD	22188361
PA129	PA129	Gene	PA449177	PA449177	Drug	VariantAnnotation	associated		PD	22584460
PA129	PA129	Gene	PA449655	PA449655	Drug	VariantAnnotation	associated		PD	22584460
PA129	PA129	Gene	PA449961	PA449961	Drug	VariantAnnotation	associated		PD	22584460
PA129	PA129	Gene	PA450112	PA450112	Drug	VIP,VariantAnnotation	ambiguous	PK	PD	12668988;16677176;16770646;18544910;18695978;19761367;20392357;20819434;20941486;21261721;21753138;22012226;22335459;22485222;22506592;23190413
PA129	PA129	Gene	PA451182	PA451182	Drug	VariantAnnotation	ambiguous		PD	12668988;16677176;20392357;20819434;20941486;21753138;22335459;22485222;22506592;23190413
PA129	PA129	Gene	PA451250	PA451250	Drug	VariantAnnotation	ambiguous	PK	PD	12668988;16677176;18544910;20392357;20819434;20941486;21261721;21753138;22335459;22485222;22506592;23190413
PA129	PA129	Gene	PA451512	PA451512	Drug	VariantAnnotation	ambiguous		PD	21753138;22485222
PA129	PA129	Gene	PA451647	theophylline	Drug	Pathway,VariantAnnotation	associated	PK		16841220;22293536
PA129	PA129	Gene	PA451954	PA451954	Drug	Pathway	associated			22960662
rs4680	rs4680	VariantLocation	PA443560	PA443560	Disease	VIP	associated			10519398;10963624;11401913;11434504;14575568;14637391;15388245;15455371;15538046;16191465;9407957;9605753;9855007
rs4680	rs4680	VariantLocation	PA445042	PA445042	Disease	VIP	associated			11990384
rs4680	rs4680	VariantLocation	PA445208	PA445208	Disease	ClinicalAnnotation,VIP	associated		PD	12595695;17156920
rs4680	rs4680	VariantLocation	PA445254	PA445254	Disease	VIP	associated			12465073
rs4680	rs4680	VariantLocation	PA445876	PA445876	Disease	ClinicalAnnotation	associated		PD	17548664;18192898
rs4680	rs4680	VariantLocation	PA446876	PA446876	Disease	VIP	associated			11054766;15900212;15927391;9259381
rs4680	rs4680	VariantLocation	PA447196	PA447196	Disease	VIP	associated			12605099;15956988
rs4680	rs4680	VariantLocation	PA447197	PA447197	Disease	VariantAnnotation	not associated		PD	23131881
rs4680	rs4680	VariantLocation	PA447199	PA447199	Disease	VIP,VariantAnnotation	ambiguous		PD	21047205;9352569;9631418
rs4680	rs4680	VariantLocation	PA447207	PA447207	Disease	VIP	associated			9631418
